date_time,leaf.wet.min,RH,DP,precip,soil.temp,SR,temp,wind,location,date,hour,Eto,res.wind,v.pressure,leaf.wet.mV,id,trial,hpi
7/7/2018 0:00,NA,60,10.9,0,22.9,0,18.9,1.1,CA,7/7/2018,0,0.02,1,1.3,NA,1,NA,NA
7/7/2018 1:00,NA,67,13.6,0,22.5,0,19.9,1.2,CA,7/7/2018,1,0,1.1,1.6,NA,2,NA,NA
7/7/2018 2:00,NA,69,12.7,0,22.5,0,18.5,0.8,CA,7/7/2018,2,0,0.3,1.5,NA,3,NA,NA
7/7/2018 3:00,NA,72,12.4,0,22.5,0,17.5,1.1,CA,7/7/2018,3,0,0.9,1.4,NA,4,NA,NA
7/7/2018 4:00,NA,74,12.2,0,22.5,0,16.8,0.9,CA,7/7/2018,4,0,0.6,1.4,NA,5,NA,NA
7/7/2018 5:00,NA,78,11.8,0,22.5,1,15.6,0.8,CA,7/7/2018,5,0,0.5,1.4,NA,6,NA,NA
7/7/2018 6:00,NA,74,11.3,0,22.5,76,15.9,0.8,CA,7/7/2018,6,0.02,0.7,1.3,NA,7,NA,NA
7/7/2018 7:00,NA,67,14.2,0,22.4,233,20.5,1.7,CA,7/7/2018,7,0.17,1.6,1.6,NA,8,NA,NA
7/7/2018 8:00,NA,56,14.4,0,22.4,408,23.7,2.7,CA,7/7/2018,8,0.32,2.6,1.6,NA,9,NA,NA
7/7/2018 9:00,NA,47,13.9,0,22.3,578,26.2,2.7,CA,7/7/2018,9,0.47,2.4,1.6,NA,10,NA,NA
7/7/2018 10:00,NA,42,13.7,0,22.3,699,27.9,2.3,CA,7/7/2018,10,0.58,2.1,1.6,NA,11,NA,NA
7/7/2018 11:00,NA,37,13.3,0,22.3,818,29.4,2,CA,7/7/2018,11,0.68,1.5,1.5,NA,12,NA,NA
7/7/2018 12:00,NA,35,13.5,0,22.3,788,30.8,2.2,CA,7/7/2018,12,0.68,1.4,1.6,NA,13,NA,NA
7/7/2018 13:00,NA,33,13.7,0,22.3,881,31.9,2.3,CA,7/7/2018,13,0.77,1.9,1.6,NA,14,NA,NA
7/7/2018 14:00,NA,25,10.8,0,22.4,648,33.5,2.3,CA,7/7/2018,14,0.6,1.9,1.3,NA,15,NA,NA
7/7/2018 15:00,NA,18,6.9,0,22.5,548,34.4,3,CA,7/7/2018,15,0.56,2.8,1,NA,16,NA,NA
7/7/2018 16:00,NA,20,8.1,0,22.6,433,34.2,3.2,CA,7/7/2018,16,0.48,3.1,1.1,NA,17,NA,NA
7/7/2018 17:00,NA,27,11.1,0,22.7,219,32.5,3,CA,7/7/2018,17,0.28,2.9,1.3,NA,18,NA,NA
7/7/2018 18:00,NA,32,12.6,0,22.8,275,31.5,2.8,CA,7/7/2018,18,0.31,2.7,1.5,NA,19,NA,NA
7/7/2018 19:00,NA,32,11,0,22.8,117,29.6,2.8,CA,7/7/2018,19,0.2,2.7,1.3,NA,20,NA,NA
7/7/2018 20:00,NA,37,10.4,0,22.9,13,26.3,1.5,CA,7/7/2018,20,0.07,1.2,1.3,NA,21,NA,NA
7/7/2018 21:00,NA,45,10.6,0,22.9,0,23.3,1.7,CA,7/7/2018,21,0.05,1.5,1.3,NA,22,NA,NA
7/7/2018 22:00,NA,53,11,0,22.9,0,21,1.5,CA,7/7/2018,22,0.03,1.3,1.3,NA,23,NA,NA
7/7/2018 23:00,NA,55,10.7,0,22.9,0,19.9,1.1,CA,7/7/2018,23,0.02,1,1.3,NA,24,NA,NA
7/8/2018 0:00,NA,56,8.9,0,23.1,0,17.8,1.4,CA,7/8/2018,0,0.03,1.3,1.1,NA,25,NA,NA
7/8/2018 1:00,NA,65,10.8,0,22.9,0,17.5,1.2,CA,7/8/2018,1,0.01,1.1,1.3,NA,26,NA,NA
7/8/2018 2:00,NA,70,11.2,0,22.8,0,16.7,1.5,CA,7/8/2018,2,0,1.4,1.3,NA,27,NA,NA
7/8/2018 3:00,NA,74,10.9,0,22.8,0,15.5,1.3,CA,7/8/2018,3,0,1.2,1.3,NA,28,NA,NA
7/8/2018 4:00,NA,77,11,0,22.7,0,14.9,1.2,CA,7/8/2018,4,0,1.1,1.3,NA,29,NA,NA
7/8/2018 5:00,NA,79,10.8,0,22.7,1,14.5,1.1,CA,7/8/2018,5,0,1,1.3,NA,30,NA,NA
7/8/2018 6:00,NA,78,11.5,0,22.6,74,15.2,1.3,CA,7/8/2018,6,0.02,1.1,1.4,NA,31,NA,NA
7/8/2018 7:00,NA,73,12.3,0,22.6,231,17.2,1.2,CA,7/8/2018,7,0.14,1.1,1.4,NA,32,NA,NA
7/8/2018 8:00,NA,61,13.1,0,22.5,410,20.9,1.1,CA,7/8/2018,8,0.27,0.9,1.5,NA,33,NA,NA
7/8/2018 9:00,NA,56,13.9,0,22.4,581,23,1.6,CA,7/8/2018,9,0.42,1.4,1.6,NA,34,NA,NA
7/8/2018 10:00,NA,46,13.5,0.2,22.4,728,25.9,1.8,CA,7/8/2018,10,0.56,1.5,1.6,NA,35,NA,NA
7/8/2018 11:00,NA,40,13.1,0,22.4,837,27.9,2.1,CA,7/8/2018,11,0.68,1.7,1.5,NA,36,NA,NA
